getsysteminfo;get_system_info
writeconfigfile;write_configfile
VERSION_INFOS;VERSION_VARS
update_git_clone;git_update_clone
ucfirst;upper_case_first
strtoupper;string_to_upper
strtolower;string_to_lower
strlen;string_length
stripcolors;strip_colors
setworkingdir;set_working_directory
setlogfilename;set_log_filename
setconfigval;set_configval
script_shortversion;script_short_version
SCRIPT_INFOS;SCRIPT_VARS
rearrangescriptoptions;rearrange_script_options
readlog;read_log
readconfigfile;read_configfile
readconfig;read_config
pathsimpleerror;path_simple_error
patherror;path_error
parsecommonoptions_strict;parse_common_options_strict
parsecommonoptions;parse_common_options
parsecolortags;parse_color_tags
onoffbit;onoff_bit
nooptionsimpleerror;no_option_simple_error
nooptionerror;no_option_error
MANPAGE_INFOS;MANPAGE_VARS
make_git_clone;git_make_clone
library_shortversion;library_short_version
LIB_COLORS;COLOR_VARS
isgitclone;git_is_clone
gnuerrorstr;gnu_error_string
gitversion;git_get_version
getuserconfigfile;get_user_configfile
gettextoptiontagclose;get_text_option_tag_close
gettextoptiontag;get_text_option_tag
gettextoptioncode;get_text_option_code
gettextformattag;get_text_format_tag
gettempfilepath;get_tempfile_path
gettempdirpath;get_tempdir_path
getshortoptionsstring;get_short_options_string
getshortoptionsarray;get_short_options_array
getscriptpath;get_script_path
getoptionarg;get_option_arg
getnextargument;get_next_argument
getmachinename;get_machine_name
getlongoptionsstring;get_long_options_string
getlongoptionsarray;get_long_options_array
getlongoptionarg;get_long_option_arg
getlongoption;get_long_option
getlogfilepath;get_log_filepath
getlastargument;get_last_argument
getglobalconfigfile;get_global_configfile
getfilename;get_filename
getextension;get_extension
getdirname;get_dirname
getconfigval;get_configval
getcolortag;get_color_tag
getcolorcode;get_color_code
getbasename;get_basename
get_gitcommit;git_get_commit
get_gitbranch;git_get_branch
explodeletters;explode_letters
createtempdir;create_tempdir
commandsimpleerror;command_simple_error
commanderror;command_error
cleartempfiles;clear_tempfiles
cleartempdir;clear_tempdir
change_git_branch;git_change_branch
buildconfigstring;build_configstring
LIB_GITVERSION;LIB_VCSVERSION
GITVERSION_MASK;VCSVERSION_MASK
@gitversion@;@vcsversion@
@git_get_version@;@vcsversion@
